,Nos,Exception name,Description
0,1,ElementNotVisibleException,This type of Selenium exception occurs when an existing element in DOM has a feature set as hidden.
1,2,ElementNotSelectableException,"This Selenium exception occurs when an element is presented in the DOM, but you can be able to select. Therefore, it is not possible to interact."
2,3,NoSuchElementException,This Exception occurs if an element could not be found.
3,4,NoSuchFrameException,This Exception occurs if the frame target to be switched to does not exist.
4,5,NoAlertPresentException,This Exception occurs when you switch to no presented alert.
5,6,NoSuchWindowException,This Exception occurs if the window target to be switch does not exist.
6,7,StaleElementReferenceException,This Selenium exception occurs happens when the web element is detached from the current DOM.
7,8,SessionNotFoundException,The WebDriver is acting after you quit the browser.
8,9,TimeoutException,"Thrown when there is not enough time for a command to be completed. For Example, the element searched wasn’t found in the specified time."
9,10,WebDriverException,This Exception takes place when the WebDriver is acting right after you close the browser.
10,11,ConnectionClosedException,This type of Exception takes place when there is a disconnection in the driver.
11,12,ElementClickInterceptedException,The command may not be completed as the element receiving the events is concealing the element which was requested clicked.
12,13,ElementNotInteractableException,"This Selenium exception is thrown when any element is presented in the DOM. However, it is impossible to interact with such an element."
13,14,ErrorInResponseException,This happens while interacting with the Firefox extension or the remote driver server.
14,15,ErrorHandler.UnknownServerException,Exception is used as a placeholder in case if the server returns an error without a stack trace.
15,16,ImeActivationFailedException,This expectation will occur when IME engine activation has failed.
16,17,ImeNotAvailableException,It takes place when IME support is unavailable.
17,18,InsecureCertificateException,Navigation made the user agent to hit a certificate warning. This can cause by an invalid or expired TLS certificate.
18,19,InvalidArgumentException,It occurs when an argument does not belong to the expected type.
19,20,InvalidCookieDomainException,This happens when you try to add a cookie under a different domain instead of current URL.
20,21,InvalidCoordinatesException,This type of Exception matches an interacting operation that is not valid.
21,22,InvalidElementStateExceptio,It occurs when command can’t be finished when the element is invalid.
22,23,InvalidSessionIdException,This Exception took place when the given session ID is not included in the list of active sessions. It means the session does not exist or is inactive either.
23,24,InvalidSwitchToTargetException,This occurs when the frame or window target to be switched does not exist.
24,25,JavascriptException,This issue occurs while executing JavaScript given by the user.
25,26,JsonException,It occurs when you afford to get the session when the session is not created.
26,27,NoSuchAttributeException,This kind of Exception occurs when the attribute of an element could not be found.
27,28,MoveTargetOutOfBoundsException,"It takes place if the target provided to the ActionChains move() methodology is not valid. For Example, out of the document."
28,29,NoSuchContextException,ContextAware does mobile device testing.
29,30,NoSuchCookieException,This Exception occurs when no cookie matching with the given pathname found for all the associated cookies of the currently browsing document.
30,31,NotFoundException,This Exception is a subclass of WebDriverException. This will occur when an element on the DOM does not exist.
31,32,RemoteDriverServerException,This Selenium exception is thrown when the server is not responding because of the problem that the capabilities described are not proper.
32,33,ScreenshotException,It is not possible to capture a screen.
33,34,SessionNotCreatedException,It happens when a new session could not be successfully created.
34,35,UnableToSetCookieException,This occurs if a driver is unable to set a cookie.
35,36,UnexpectedTagNameException,Happens if a support class did not get a web element as expected.
36,37,UnhandledAlertException,"This expectation occurs when there is an alert, but WebDriver is not able to perform Alert operation."
37,38,UnexpectedAlertPresentException,It occurs when there is the appearance of an unexpected alert.
38,39,UnknownMethodException,This Exception happens when the requested command matches with a known URL but and not matching with a methodology for a specific URL.
39,40,UnreachableBrowserException,This Exception occurs only when the browser is not able to be opened or crashed because of some reason.
40,41,UnsupportedCommandException,This occurs when remote WebDriver does n’t send valid commands as expected.
