,Nos,Songs name,Artist name,Last week rank,Peak rank,Weeks on board
0,1,My Universe,Coldplay x BTS,-,1,1
1,2,Stay,The Kid LAROI & Justin Bieber,1,1,12
2,3,Industry Baby,Lil Nas X & Jack Harlow,2,2,10
3,4,Way 2 Sexy,Drake Featuring Future & Young Thug,3,1,4
4,5,Fancy Like,Walker Hayes,5,5,15
5,6,Bad Habits,Ed Sheeran,4,2,14
6,7,Good 4 U,Olivia Rodrigo,6,1,20
7,8,Kiss Me More,Doja Cat Featuring SZA,7,3,25
8,9,Knife Talk,Drake Featuring 21 Savage & Project Pat,8,4,4
9,10,Levitating,Dua Lipa,11,2,52
10,11,Essence,Wizkid Featuring Justin Bieber & Tems,14,11,13
11,12,Save Your Tears,The Weeknd & Ariana Grande,12,1,42
12,13,Montero (Call Me By Your Name),Lil Nas X,9,1,27
13,14,Shivers,Ed Sheeran,17,14,3
14,15,Heat Waves,Glass Animals,16,15,37
15,16,Need To Know,Doja Cat,18,14,16
16,17,Girls Want Girls,Drake Featuring Lil Baby,13,2,4
17,18,You Right,Doja Cat & The Weeknd,19,11,14
18,19,Beggin',Maneskin,20,19,14
19,20,Wockesha,Moneybagg Yo,35,20,23
20,21,If I Didn't Love You,Jason Aldean & Carrie Underwood,22,15,10
21,22,Take My Breath,The Weeknd,21,6,8
22,23,Fair Trade,Drake Featuring Travis Scott,15,3,4
23,24,Thats What I Want,Lil Nas X,10,10,2
24,25,Traitor,Olivia Rodrigo,25,9,19
25,26,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,29,26,13
26,27,Chasing After You,Ryan Hurd With Maren Morris,32,27,22
27,28,Bad Morning,YoungBoy Never Broke Again,-,28,1
28,29,Pepas,Farruko,27,26,10
29,30,Deja Vu,Olivia Rodrigo,23,3,26
30,31,Happier Than Ever,Billie Eilish,28,11,9
31,32,Your Heart,Joyner Lucas & J. Cole,-,32,1
32,33,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),33,1,30
33,34,Hurricane,Kanye West,31,6,5
34,35,A-O-K,Tai Verdes,39,35,13
35,36,Butter,BTS,24,1,19
36,37,On My Side,YoungBoy Never Broke Again,71,37,2
37,38,Too Easy,Gunna & Future,-,38,1
38,39,Leave Before You Love Me,Marshmello X Jonas Brothers,26,19,19
39,40,No Where,YoungBoy Never Broke Again,-,40,1
40,41,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,36,1,28
41,42,Family Ties,Baby Keem & Kendrick Lamar,38,18,5
42,43,Memory I Don't Mess With,Lee Brice,54,43,10
43,44,Late At Night,Roddy Ricch,45,20,17
44,45,Things A Man Oughta Know,Lainey Wilson,34,32,20
45,46,Cold Heart (PNAU Remix),Elton John & Dua Lipa,74,46,4
46,47,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,44,44,3
47,48,Life Support,YoungBoy Never Broke Again,79,48,3
48,49,I Was On A Boat That Day,Old Dominion,53,49,13
49,50,Love Nwantiti (Ah Ah Ah),CKay,80,50,2
50,51,Wild Side,Normani Featuring Cardi B,52,14,11
51,52,Whole Lotta Money,BIA Featuring Nicki Minaj,58,16,12
52,53,Hold Me Down,YoungBoy Never Broke Again,-,53,1
53,54,Champagne Poetry,Drake,30,4,4
54,55,Buy Dirt,Jordan Davis Featuring Luke Bryan,55,51,8
55,56,Have Mercy,Chloe,56,28,3
56,57,Love Again,Dua Lipa,51,51,11
57,58,Nevada,YoungBoy Never Broke Again,-,58,1
58,59,50 Shots,YoungBoy Never Broke Again,-,59,1
59,60,No Friends In The Industry,Drake,40,11,4
60,61,Smoke Strong,YoungBoy Never Broke Again,-,61,1
61,62,Break Or Make Me,YoungBoy Never Broke Again,-,62,1
62,63,You Time,Scotty McCreery,50,50,9
63,64,Gyalis,Capella Grey,64,64,9
64,65,Cold As You,Luke Combs,69,65,9
65,66,My Boy,Elvie Shane,67,66,14
66,67,Sincerely,YoungBoy Never Broke Again,-,67,1
67,68,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,70,53,23
68,69,I Can't Take It Back,YoungBoy Never Broke Again,-,69,1
69,70,Waves,Luke Bryan,60,24,15
70,71,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,61,22,5
71,72,In The Bible,Drake Featuring Lil Durk & Giveon,43,7,4
72,73,Thot Shit,Megan Thee Stallion,49,16,16
73,74,Rumors,Lizzo Featuring Cardi B,46,4,7
74,75,Woman,Doja Cat,62,62,9
75,76,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,81,76,7
76,77,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",78,77,9
77,78,2055,Sleepy Hallow,65,51,11
78,79,Memory,Kane Brown X blackbear,73,50,12
79,80,Forgiato,YoungBoy Never Broke Again,-,80,1
80,81,You Should Probably Leave,Chris Stapleton,83,63,13
81,82,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,77,24,18
82,83,Rich Shit,YoungBoy Never Broke Again,-,83,1
83,84,TSU,Drake,48,9,4
84,85,Volvi,Aventura x Bad Bunny,75,22,9
85,86,Todo de Ti,Rauw Alejandro,82,32,18
86,87,Love All,Drake Featuring JAY-Z,57,10,4
87,88,N 2 Deep,Drake Featuring Future,59,12,4
88,89,Yonaguni,Bad Bunny,85,10,17
