,Rank,Video Names,Artist,Upload date,Views (Billions)
0,1,"""Baby Shark Dance""",Pinkfong Baby Shark - Kids' Songs & Stories,"June 17, 2016","9,453,134,982"
1,2,"""Despacito""",Luis Fonsi,"January 12, 2017","7,572,747,360"
2,3,"""Johny Johny Yes Papa""",LooLoo Kids,"October 8, 2016","5,781,348,353"
3,4,"""Shape of You""",Ed Sheeran,"January 30, 2017","5,483,427,541"
4,5,"""See You Again""",Wiz Khalifa,"April 6, 2015","5,284,905,560"
5,6,"""Bath Song""",Cocomelon – Nursery Rhymes,"May 2, 2018","4,549,294,432"
6,7,"""Learning Colors – Colorful Eggs on a Farm""",Miroshka TV,"February 27, 2018","4,513,879,675 (as of Sep 29, 2021)"
7,8,"""Masha and the Bear – Recipe for Disaster""",Get Movies,"January 31, 2012","4,461,096,975"
8,9,"""Uptown Funk""",Mark Ronson,"November 19, 2014","4,319,159,452"
9,10,"""Phonics Song with Two Words""",ChuChu TV,"March 6, 2014","4,220,180,419"
10,11,"""Gangnam Style""",Psy,"July 15, 2012","4,211,421,413"
11,12,"""Dame Tu Cosita""",El Chombo,"April 5, 2018","3,633,337,215"
12,13,"""Sugar""",Maroon 5,"January 14, 2015","3,565,906,701"
13,14,"""Sorry""",Justin Bieber,"October 22, 2015","3,474,094,697"
14,15,"""Roar""",Katy Perry,"September 5, 2013","3,444,786,615"
15,16,"""Counting Stars""",OneRepublic,"May 31, 2013","3,412,577,920"
16,17,"""Thinking Out Loud""",Ed Sheeran,"October 7, 2014","3,337,279,340"
17,18,"""Wheels on the Bus""",Cocomelon – Nursery Rhymes,"May 24, 2018","3,291,808,512"
18,19,"""Dark Horse""",Katy Perry,"February 20, 2014","3,155,611,442"
19,20,"""Faded""",Alan Walker,"December 3, 2015","3,155,489,927"
20,21,"""Girls Like You""",Maroon 5,"May 31, 2018","3,143,116,042"
21,22,"""Lean On""",Major Lazer,"March 22, 2015","3,105,926,931"
22,23,"""Bailando""",Enrique Iglesias,"April 11, 2014","3,105,539,316"
23,24,"""Shake It Off""",Taylor Swift,"August 18, 2014","3,104,230,107"
24,25,"""Let Her Go""",Passenger,"July 25, 2012","3,090,217,295"
25,26,"""Axel F""",Crazy Frog,"June 17, 2009","3,035,828,739"
26,27,"""Mi Gente""",J Balvin,"June 29, 2017","2,986,493,839"
27,28,"""Perfect""",Ed Sheeran,"November 9, 2017","2,974,982,274"
28,29,"""Waka Waka (This Time for Africa)""",Shakira,"June 4, 2010","2,962,613,841"
29,30,"""Hello""",Adele,"October 23, 2015","2,889,107,727"
